chr_name	start	end	cell_line	targets	predicted	weights	probabilities	inputs	attributions
chr19	18506693	18508878	C4-2	1.0	1.0	1.0	0.7660770416259766	"tensor([[[0.0000, 0.0000, 1.0000, 0.0000, 0.0139],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0139],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0139],
         ...,
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0318],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0304],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0304]]])"	"tensor([[[0.0000, 0.0000, 0.1967, 0.0000, 0.0032],
         [0.0000, 0.0000, 0.0000, 0.1978, 0.0034],
         [0.0000, 0.0000, 0.1987, 0.0000, 0.0033],
         ...,
         [0.0000, 0.0000, 0.0000, 0.0674, 0.0024],
         [0.0657, 0.0000, 0.0000, 0.0000, 0.0020],
         [0.0000, 0.0000, 0.0633, 0.0000, 0.0020]]])"
chr9	64627499	64627992	C4-2	0.0	0.0	1.6343597173690796	0.0017567697213962674	"tensor([[[0.0000, 0.0000, 0.0000, 1.0000, 0.0109],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0109],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0093],
         ...,
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0139],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0139],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0139]]])"	"tensor([[[0.0000, 0.0000, 0.0000, 0.6985, 0.0087],
         [0.0000, 0.0000, 0.0000, 0.7150, 0.0091],
         [0.0000, 0.0000, 0.7142, 0.0000, 0.0077],
         ...,
         [0.0000, 0.0000, 0.5638, 0.0000, 0.0084],
         [0.0000, 0.5193, 0.0000, 0.0000, 0.0079],
         [0.5086, 0.0000, 0.0000, 0.0000, 0.0067]]])"
chr9	68492543	68493441	C4-2	1.0	1.0	1.0	0.9622803926467896	"tensor([[[0.0000, 1.0000, 0.0000, 0.0000, 0.0093],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0093],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0093],
         ...,
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0318],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0347],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0318]]])"	"tensor([[[-0.0000, -0.1432, -0.0000, -0.0000, -0.0015],
         [-0.0000, -0.0000, -0.0000, -0.1321, -0.0014],
         [-0.0000, -0.1319, -0.0000, -0.0000, -0.0014],
         ...,
         [ 0.0000,  0.0119,  0.0000,  0.0000,  0.0003],
         [ 0.0105,  0.0000,  0.0000,  0.0000,  0.0003],
         [ 0.0000,  0.0000,  0.0103,  0.0000,  0.0003]]])"
chr11	73716034	73716731	LNCAP	0.0	1.0	1.6343597173690796	0.5546537041664124	"tensor([[[0.0000, 1.0000, 0.0000, 0.0000, 0.0019],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0019],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0019],
         ...,
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0019],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0019],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0019]]])"	"tensor([[[ 0.0000e+00,  9.6793e-02,  0.0000e+00,  0.0000e+00,  1.8016e-04],
         [ 8.7646e-02,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.6570e-04],
         [ 0.0000e+00,  0.0000e+00,  7.7943e-02,  0.0000e+00,  1.5147e-04],
         ...,
         [-0.0000e+00, -3.9876e-03, -0.0000e+00, -0.0000e+00, -2.1320e-06],
         [-0.0000e+00, -2.8865e-03, -0.0000e+00,  0.0000e+00, -1.3245e-06],
         [-0.0000e+00, -0.0000e+00, -0.0000e+00, -3.1833e-03,  2.0708e-06]]])"
chr3	178899925	178900626	LNCAP	1.0	1.0	1.0	0.938576877117157	"tensor([[[0.0000, 0.0000, 1.0000, 0.0000, 0.0019],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0019],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0019],
         ...,
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0019],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0019],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0019]]])"	"tensor([[[0.0000e+00, 0.0000e+00, 7.5689e-01, 0.0000e+00, 1.6146e-03],
         [0.0000e+00, 0.0000e+00, 7.5515e-01, 0.0000e+00, 1.5872e-03],
         [0.0000e+00, 7.5132e-01, 0.0000e+00, 0.0000e+00, 1.5839e-03],
         ...,
         [0.0000e+00, 1.0004e-01, 0.0000e+00, 0.0000e+00, 2.0741e-04],
         [0.0000e+00, 8.6403e-02, 0.0000e+00, 0.0000e+00, 1.7819e-04],
         [7.5422e-02, 0.0000e+00, 0.0000e+00, 0.0000e+00, 1.4943e-04]]])"
chr7	39797109	39798333	MCF7	0.0	0.0	1.6343597173690796	0.001831356668844819	"tensor([[[0.0000, 0.0000, 1.0000, 0.0000, 0.0027],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0027],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0025],
         ...,
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0040],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0036],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0038]]])"	"tensor([[[-0.0000, -0.0000, -0.5271, -0.0000, -0.0017],
         [-0.0000, -0.0000, -0.5433, -0.0000, -0.0019],
         [-0.0000, -0.0000, -0.5819, -0.0000, -0.0018],
         ...,
         [ 0.0000,  0.0000,  0.0000,  0.1844,  0.0008],
         [ 0.0000,  0.0000,  0.1976,  0.0000,  0.0007],
         [ 0.0000,  0.1989,  0.0000,  0.0000,  0.0008]]])"
chr9	105693666	105695606	A549	0.0	0.0	1.6343597173690796	0.01212950237095356	"tensor([[[0.0000, 0.0000, 1.0000, 0.0000, 0.0020],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0020],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0020],
         ...,
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0079],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0079],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0079]]])"	"tensor([[[0.0000, 0.0000, 0.2704, 0.0000, 0.0006],
         [0.0000, 0.0000, 0.0000, 0.2559, 0.0006],
         [0.2554, 0.0000, 0.0000, 0.0000, 0.0006],
         ...,
         [0.0000, 0.0000, 0.0000, 0.0220, 0.0003],
         [0.0000, 0.0000, 0.0344, 0.0000, 0.0005],
         [0.0000, 0.0000, 0.0000, 0.0463, 0.0005]]])"
chr11	91396286	91397396	A549	1.0	0.0	1.0	0.1543762981891632	"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.0020],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0020],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0020],
         ...,
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0000],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0000],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0000]]])"	"tensor([[[0.3336, 0.0000, 0.0000, 0.0000, 0.0008],
         [0.0000, 0.0000, 0.0000, 0.3480, 0.0009],
         [0.3638, 0.0000, 0.0000, 0.0000, 0.0010],
         ...,
         [0.0000, 0.0000, 0.4836, 0.0000, 0.0000],
         [0.0000, 0.0000, 0.0000, 0.4505, 0.0000],
         [0.0000, 0.4378, 0.0000, 0.0000, 0.0000]]])"
chr20	50721782	50722276	LNCAP	1.0	1.0	1.5849624872207642	0.7791184782981873	"tensor([[[0.0000, 0.0000, 0.0000, 1.0000, 0.0037],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0037],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0019],
         ...,
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0165],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0165],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0165]]])"	"tensor([[[-0.0000, -0.0000, -0.0000, -0.1152, -0.0005],
         [-0.0000, -0.1254, -0.0000, -0.0000, -0.0006],
         [-0.0000, -0.0000, -0.0000, -0.1434, -0.0003],
         ...,
         [-0.0000, -0.0000, -0.0463, -0.0000, -0.0008],
         [-0.0000, -0.0000, -0.0419, -0.0000, -0.0007],
         [-0.0000, -0.0000, -0.0386, -0.0000, -0.0007]]])"
chr4	162137120	162137969	22Rv1	1.0	1.0	1.0	0.9927283525466919	"tensor([[[0.0000, 0.0000, 0.0000, 1.0000, 0.0025],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0000],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0000],
         ...,
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0025],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0025],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0025]]])"	"tensor([[[ 0.0000e+00,  0.0000e+00,  0.0000e+00,  2.1287e-01,  6.2038e-04],
         [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  2.0289e-01,  0.0000e+00],
         [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  1.9796e-01,  0.0000e+00],
         ...,
         [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  8.0800e-03, -9.9459e-06],
         [ 7.8957e-03,  0.0000e+00,  0.0000e+00,  0.0000e+00, -5.3399e-06],
         [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  1.2734e-02,  1.8329e-06]]])"
chr6	139753481	139753940	MCF7	0.0	0.0	1.6343597173690796	0.32429635524749756	"tensor([[[0.0000e+00, 0.0000e+00, 0.0000e+00, 1.0000e+00, 3.8133e-04],
         [1.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 3.8133e-04],
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 1.0000e+00, 3.8133e-04],
         ...,
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 1.0000e+00, 3.8133e-04],
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 1.0000e+00, 1.9071e-04],
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 1.0000e+00, 1.9071e-04]]])"	"tensor([[[0.0000e+00, 0.0000e+00, 0.0000e+00, 3.9489e-01, 1.7398e-04],
         [4.1239e-01, 0.0000e+00, 0.0000e+00, 0.0000e+00, 1.7876e-04],
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 4.1221e-01, 1.8101e-04],
         ...,
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 2.4154e-01, 1.0211e-04],
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 2.4604e-01, 4.7661e-05],
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 2.3724e-01, 4.7079e-05]]])"
